"POSTAL_CODE","RANK","SCORE","DWELLINGS TOTAL","ACCUM. DWELLINGS","PT_DOG_%","PT_DOG_#","HHI over $100,000_%","HHI over $100,000_#"
M8Z3Y3,5824,152,3,63388,26.18,1,58.80,2
M5P2M2,5825,152,11,63399,27.75,3,52.00,6
M5P2M7,5826,152,15,63414,27.75,4,52.00,8
M3A2Z7,5827,152,4,63418,25.32,1,62.52,3
M5P2M4,5828,152,22,63440,27.75,6,52.00,11
M5P2M6,5829,152,12,63452,27.75,3,51.99,6
M5P2M3,5830,152,10,63462,27.75,3,51.99,5
M5P2M8,5831,152,14,63476,27.75,4,51.99,7
M5P1B6,5832,152,2,63478,27.75,1,51.99,1
M5N2V7,5833,152,2,63480,25.59,1,61.35,1
M5P1B8,5834,152,4,63484,27.75,1,51.98,2
M8Z3J4,5835,152,2,63486,27.64,1,52.45,1
M8Y2P4,5836,152,3,63489,27.64,1,52.45,2
M8Z3E5,5837,152,2,63491,27.64,1,52.45,1
M8Z3E7,5838,152,4,63495,27.64,1,52.44,2
M8Z3M9,5839,152,14,63509,27.64,4,52.44,7
M8Y2V5,5840,152,14,63523,27.64,4,52.43,7
L3T5P3,5841,152,6,63529,25.91,2,59.93,4
M8Y2V7,5842,152,13,63542,27.64,4,52.43,7
M8Z3T5,5843,152,11,63553,27.64,3,52.43,6
M8Z3N1,5844,152,12,63565,27.64,3,52.43,6
M8Y3P4,5845,152,16,63581,27.64,4,52.43,8
M8Y2V8,5846,152,13,63594,27.64,4,52.43,7
M8Y2V6,5847,152,12,63606,27.64,3,52.43,6
M8Z3N2,5848,152,18,63624,27.64,5,52.43,9
M8Z3M8,5849,152,13,63637,27.64,4,52.43,7
L3T5L6,5850,152,15,63652,25.70,4,60.83,9
M8Z3T2,5851,152,15,63667,27.64,4,52.43,8
M8Z3T4,5852,152,13,63680,27.64,4,52.43,7
M8Y3P2,5853,152,13,63693,27.64,4,52.43,7
M5P1B7,5854,152,1,63694,27.75,0,51.95,1
M8Z3N4,5855,152,12,63706,27.64,3,52.43,6
M8Z3M7,5856,152,16,63722,27.64,4,52.42,8
M8Z3T3,5857,152,10,63732,27.64,3,52.42,5
M8Z3N3,5858,152,15,63747,27.64,4,52.42,8
M8Z3N5,5859,152,12,63759,27.64,3,52.42,6
M2L2H5,5860,152,6,63765,22.88,1,73.04,4
M8Z5V1,5861,152,1,63766,27.64,0,52.41,1
M2L2J5,5862,152,6,63772,22.88,1,73.04,4
M8X1Z3,5863,152,9,63781,27.64,2,52.41,5
M9C4M3,5864,152,8,63789,30.29,2,40.93,3
M2L1B9,5865,152,14,63803,22.88,3,73.03,10
M2N3E6,5866,152,15,63818,22.83,3,73.25,11
M2L2G9,5867,152,12,63830,22.88,3,73.03,9
M2L2H7,5868,152,13,63843,22.88,3,73.03,9
M2L2H6,5869,152,5,63848,22.88,1,73.03,4
M2L2H3,5870,152,17,63865,22.88,4,73.03,12
M2L2G4,5871,152,15,63880,22.88,3,73.03,11
M8Z3J3,5872,152,2,63882,27.64,1,52.40,1
M8Z3E6,5873,152,3,63885,27.64,1,52.40,2
M8Y2M7,5874,152,2,63887,27.64,1,52.40,1
M2L2H1,5875,152,3,63890,22.88,1,73.03,2
M2L2H4,5876,152,11,63901,22.88,3,73.02,8
M2L2G7,5877,152,7,63908,22.88,2,73.02,5
M2L2H2,5878,152,2,63910,22.88,0,73.02,1
M2L2J6,5879,152,3,63913,22.88,1,73.01,2
M5R3A8,5880,152,14,63927,24.54,3,65.79,9
M2K1N3,5881,152,4,63931,24.72,1,65.01,3
M2K1T4,5882,152,3,63934,24.72,1,65.00,2
M2K1N1,5883,152,8,63942,24.72,2,65.00,5
M8Z4H8,5884,152,1,63943,27.00,0,55.12,1
M4V1G5,5885,152,6,63949,24.32,1,66.73,4
M8Z3V6,5886,152,4,63953,27.00,1,55.11,2
M2K1X6,5887,152,7,63960,24.72,2,64.99,5
M2K1Z4,5888,152,23,63983,24.72,6,64.99,15
M2K2V3,5889,152,9,63992,24.72,2,64.99,6
M2K1X5,5890,152,10,64002,24.72,2,64.99,6
M2K1R2,5891,152,8,64010,24.72,2,64.99,5
M8Z3P7,5892,152,2,64012,27.00,1,55.11,1
M2K1V4,5893,152,15,64027,24.72,4,64.99,10
M2K2V6,5894,152,24,64051,24.72,6,64.99,16
M2K1V3,5895,152,10,64061,24.72,2,64.99,6
M2K1T3,5896,152,15,64076,24.72,4,64.99,10
M2K2W4,5897,152,27,64103,24.72,7,64.99,18
M2K1K5,5898,152,10,64113,24.72,2,64.99,6
M8Z3W9,5899,152,2,64115,27.00,1,55.11,1
M2K1M1,5900,152,12,64127,24.72,3,64.99,8
M2K2V2,5901,152,29,64156,24.72,7,64.98,19
M2K1L9,5902,152,10,64166,24.72,2,64.98,6
M2K1X4,5903,152,11,64177,24.72,3,64.98,7
M2K1X3,5904,152,28,64205,24.72,7,64.98,18
M2K1N6,5905,152,14,64219,24.72,3,64.98,9
M8Z3B6,5906,152,4,64223,27.00,1,55.10,2
M8Z2Z1,5907,152,8,64231,27.00,2,55.10,4
M8Z3A2,5908,152,11,64242,27.00,3,55.10,6
M8Z2W4,5909,152,17,64259,27.00,5,55.10,9
M2K1T6,5910,152,3,64262,24.72,1,64.98,2
M2K2W9,5911,152,7,64269,24.72,2,64.98,5
M8Z3W7,5912,152,1,64270,27.00,0,55.10,1
M8Z4K4,5913,152,2,64272,27.00,1,55.10,1
M2K1S1,5914,152,3,64275,24.72,1,64.98,2
M8Z3B8,5915,152,5,64280,27.00,1,55.10,3
M8Z3A1,5916,152,11,64291,27.00,3,55.10,6
M2K1R9,5917,152,3,64294,24.72,1,64.97,2
M8Z3B9,5918,152,4,64298,27.00,1,55.09,2
M2K1K6,5919,152,4,64302,24.72,1,64.97,3
M8Z4J3,5920,152,7,64309,27.00,2,55.09,4
M2K1T7,5921,152,6,64315,24.72,1,64.97,4
M8Z3G6,5922,152,8,64323,27.00,2,55.09,4
M8Z2X8,5923,152,4,64327,27.00,1,55.09,2
M8Z3G4,5924,152,7,64334,27.00,2,55.09,4
M8Z3G2,5925,152,9,64343,27.00,2,55.09,5
M8Z4J1,5926,152,7,64350,27.00,2,55.09,4
M8Z3W6,5927,152,1,64351,27.00,0,55.09,1
M3H2H7,5928,152,6,64357,26.47,2,57.36,3
M3H2H3,5929,152,3,64360,26.47,1,57.36,2
M3H2H4,5930,152,11,64371,26.47,3,57.35,6
M3H2E2,5931,152,5,64376,26.47,1,57.35,3
M3H2E3,5932,152,3,64379,26.47,1,57.35,2
M3H2E1,5933,152,7,64386,26.47,2,57.35,4
M3H2K1,5934,152,15,64401,26.47,4,57.35,9
M3H2E5,5935,152,7,64408,26.47,2,57.35,4
M3H3J4,5936,152,6,64414,26.47,2,57.35,3
L4L6X6,5937,152,11,64425,27.12,3,54.53,6
M3H3H9,5938,152,9,64434,26.47,2,57.35,5
L4L6X5,5939,152,11,64445,27.12,3,54.53,6
L4L6X3,5940,152,14,64459,27.12,4,54.53,8
M3H3J2,5941,152,6,64465,26.47,2,57.35,3
L4L6X2,5942,152,18,64483,27.12,5,54.53,10
M3H2J5,5943,152,13,64496,26.47,3,57.35,7
M3H3H8,5944,152,8,64504,26.47,2,57.34,5
M3H3H7,5945,152,6,64510,26.47,2,57.34,3
M3H3H4,5946,152,8,64518,26.47,2,57.34,5
M3H2G8,5947,152,7,64525,26.47,2,57.34,4
M2K1N5,5948,152,1,64526,24.72,0,64.92,1
M3H3J5,5949,152,3,64529,26.47,1,57.33,2
M3H3L4,5950,152,4,64533,26.47,1,57.33,2
M6S3M5,5951,152,60,64593,26.70,16,56.32,34
L4L0C9,5952,152,12,64605,27.38,3,53.37,6
M3H3H6,5953,152,2,64607,26.47,1,57.31,1
M8Z3V8,5954,152,2,64609,26.97,1,55.12,1
M8Z4H9,5955,152,1,64610,27.00,0,54.99,1
L4L0E1,5956,152,15,64625,27.37,4,53.37,8
L3T5W7,5957,152,11,64636,24.66,3,65.09,7
M5M3W5,5958,152,6,64642,26.94,2,55.19,3
M8Z2Y5,5959,152,1,64643,26.96,0,55.09,1
L4L7S8,5960,152,11,64654,26.49,3,57.13,6
M5M2R6,5961,152,9,64663,26.94,2,55.18,5
M5M2M5,5962,152,16,64679,26.94,4,55.17,9
M6B1T2,5963,152,13,64692,27.92,4,50.92,7
M5M2K6,5964,152,14,64706,26.94,4,55.17,8
M5M2M6,5965,152,14,64720,26.94,4,55.17,8
M5M2P2,5966,152,12,64732,26.94,3,55.17,7
M5M2K7,5967,152,19,64751,26.94,5,55.17,10
M5M3W7,5968,152,7,64758,26.94,2,55.16,4
M5M2P3,5969,152,11,64769,26.94,3,55.16,6
M4K1W5,5970,152,36,64805,22.46,8,74.55,27
M4G3P6,5971,152,4,64809,28.05,1,50.34,2
M3B2N3,5972,152,9,64818,25.82,2,60.00,5
M5M3W2,5973,152,5,64823,26.94,1,55.14,3
M4G2R2,5974,152,3,64826,28.05,1,50.32,2
M5R1Z4,5975,152,10,64836,24.53,2,65.57,7
M4G2M1,5976,152,10,64846,28.05,3,50.31,5
M4G2M2,5977,152,13,64859,28.05,4,50.30,7
M4G3L1,5978,152,10,64869,28.05,3,50.30,5
M4G2N6,5979,152,6,64875,28.05,2,50.30,3
M4G2K4,5980,152,3,64878,28.05,1,50.30,2
M4G2N7,5981,152,17,64895,28.05,5,50.30,9
M4G3K9,5982,152,14,64909,28.05,4,50.30,7
M2P1B4,5983,152,1,64910,25.12,0,62.99,1
M4G3E1,5984,152,6,64916,28.05,2,50.30,3
M4G3K7,5985,152,9,64925,28.05,3,50.29,5
M4G2N8,5986,152,2,64927,28.05,1,50.29,1
M4G3K8,5987,152,6,64933,28.05,2,50.29,3
M9A2Y5,5988,152,2,64935,28.11,1,50.03,1
M6S2K9,5989,152,12,64947,26.70,3,56.13,7
M9A2Y9,5990,152,2,64949,28.11,1,50.02,1
M9B4A2,5991,152,3,64952,28.07,1,50.19,2
M6P2Z8,5992,152,54,65006,24.56,13,65.39,35
M9A5A5,5993,152,13,65019,28.11,4,50.00,7
M9A5A4,5994,152,27,65046,28.11,8,50.00,14
M9A3B6,5995,152,2,65048,28.11,1,50.00,1
M9A2X7,5996,152,1,65049,28.11,0,50.00,1
M2R3C4,5997,152,1,65050,24.31,0,66.46,1
M9A3A6,5998,152,11,65061,28.11,3,50.00,6
M9A3A7,5999,152,5,65066,28.11,1,49.99,2
M2P1B7,6000,152,1,65067,25.12,0,62.94,1
M2P1H4,6001,152,5,65072,25.12,1,62.93,3
M2P1R4,6002,152,12,65084,25.12,3,62.93,8
M2P1P9,6003,152,11,65095,25.12,3,62.93,7
M2P1R7,6004,152,19,65114,25.12,5,62.93,12
M2P1H3,6005,152,8,65122,25.12,2,62.92,5
M2P1R6,6006,152,11,65133,25.12,3,62.92,7
M2P1R8,6007,152,15,65148,25.12,4,62.92,9
M2P2G3,6008,152,11,65159,25.12,3,62.92,7
M9A5B2,6009,152,1,65160,28.11,0,49.96,0
M6P2Z9,6010,152,47,65207,24.54,12,65.40,31
M5M1A2,6011,152,2,65209,25.04,1,63.22,1
M3B1N3,6012,152,2,65211,27.41,1,52.95,1
M6S3S1,6013,152,35,65246,26.69,9,56.07,20
M3B2C5,6014,152,13,65259,27.41,4,52.95,7
M9B4A1,6015,152,1,65260,28.07,0,50.09,1
M3B1R1,6016,152,8,65268,27.41,2,52.95,4
M3B1R5,6017,152,13,65281,27.41,4,52.95,7
M5M1A5,6018,152,5,65286,25.04,1,63.21,3
M3B1P9,6019,152,10,65296,27.41,3,52.94,5
M3B2C9,6020,152,5,65301,27.41,1,52.94,3
M5M1A4,6021,152,8,65309,25.04,2,63.21,5
M5M3J5,6022,152,28,65337,25.04,7,63.21,18
M5M3C5,6023,152,27,65364,25.04,7,63.20,17
M5M3C4,6024,152,29,65393,25.04,7,63.20,18
M5M3C2,6025,152,28,65421,25.04,7,63.20,18
M8X0A4,6026,152,16,65437,24.16,4,67.01,11
M3B1N1,6027,152,2,65439,27.41,1,52.93,1
M9A3W1,6028,152,16,65455,28.05,4,50.15,8
M9C5B6,6029,152,42,65497,25.48,11,61.27,26
M3B1N2,6030,152,5,65502,27.40,1,52.95,3
M3B2E8,6031,152,6,65508,27.40,2,52.95,3
M3B1N6,6032,152,24,65532,27.40,7,52.95,13
M3B2C7,6033,152,13,65545,27.40,4,52.95,7
M3B2L6,6034,152,10,65555,27.40,3,52.95,5
M4K1S3,6035,152,1,65556,25.45,0,61.39,1
M3B1P8,6036,152,13,65569,27.40,4,52.94,7
M3B2C6,6037,152,9,65578,27.40,2,52.94,5
L4J7T4,6038,152,38,65616,27.38,10,53.02,20
M4K2V5,6039,152,6,65622,25.45,2,61.37,4
M4K2W3,6040,152,7,65629,25.45,2,61.36,4
M4K1S5,6041,152,8,65637,25.45,2,61.36,5
M4K1R6,6042,152,9,65646,25.45,2,61.36,6
M4K2W1,6043,152,21,65667,25.45,5,61.36,13
M4K2V2,6044,152,23,65690,25.45,6,61.36,14
M4K2V6,6045,152,3,65693,25.45,1,61.36,2
M4K1S2,6046,152,7,65700,25.45,2,61.36,4
M4K2V4,6047,152,15,65715,25.45,4,61.35,9
M4K2X6,6048,152,20,65735,25.45,5,61.35,12
M4K2W2,6049,152,14,65749,25.45,4,61.35,9
M4K1T6,6050,152,5,65754,25.45,1,61.35,3
M6K3M5,6051,152,47,65801,27.91,13,50.69,24
L4J6P9,6052,152,7,65808,27.90,2,50.73,4
L4J6R2,6053,152,9,65817,27.90,3,50.72,5
M3H2J4,6054,152,12,65829,26.37,3,57.35,7
L3T5G8,6055,152,40,65869,25.85,10,59.59,24
